"Outplant Date","Monitoring Date","Temp","Site","Lat","Long","Total # of Corals Outplanted","Genus","Species","Genotype ID","Area at Time of Outplanting","Area at 90 Day Monitoring","Area at 12 Month Monitoring","Change in Area T0-T1","Percent Change in Area T0-T1","Number of Clusters at Time of Outplanting","Number of Clusters at 90 Day Monitoring","Number of Clusters at 12 Month Monitoring","Cluster Survival at 90 Day Monitoring","Change in Area T0-T2","Percent Change in Area T0-T2","Cluster Survival at 12 Month Monitoring"
"2026-06-05","2026-08-31",87,"MS_P002",24.51001,-81.56874,1567,"Montastraea","cavernosa","MC137",359.64,340.07,,-19.57,-5.44155266377488,4,4,,100,,,
"2026-06-05","2026-08-31",87,"MS_P002",24.51001,-81.56874,1567,"Montastraea","cavernosa","MC73",59.98,54.05,,-5.92999999999999,-9.88662887629209,1,1,,100,,,
"2026-06-05","2026-08-31",87,"MS_P002",24.51001,-81.56874,1567,"Orbicella","annularis","OA9",91.05,104.43,,13.38,14.6952224052718,2,2,,100,,,
"2026-06-05","2026-08-31",87,"MS_P002",24.51001,-81.56874,1567,"Orbicella","faveolata","OF1",104.96,96.94,,-8.02000000000001,-7.64100609756098,2,2,,100,,,
"2026-06-05","2026-08-31",87,"MS_P002",24.51001,-81.56874,1567,"Orbicella","faveolata","OF1104",45.18,45.13,,-0.0500000000000043,-0.110668437361674,1,1,,100,,,
"2026-06-05","2026-08-31",87,"MS_P002",24.51001,-81.56874,1567,"Orbicella","faveolata","OF61",28.67,28.04,,-0.630000000000003,-2.19741890477852,1,1,,100,,,
"2026-06-05","2026-08-31",87,"MS_P002",24.51001,-81.56874,1567,"Orbicella","faveolata","OF773",308.67,254.18,,-54.49,-17.6531570933359,9,9,,100,,,
"2026-06-05","2026-08-31",87,"MS_P002",24.51001,-81.56874,1567,"Orbicella","faveolata","OF801",41.59,45.91,,4.32,10.3871122866074,1,1,,100,,,
"2026-06-05","2026-08-31",87,"MS_P002",24.51001,-81.56874,1567,"Orbicella","faveolata","OF988",48.61,42.98,,-5.63,-11.5819790166632,1,1,,100,,,
"2026-06-05","2026-08-31",87,"MS_P002",24.51001,-81.56874,1567,"Orbicella","faveolata","OF993",209.43,190.28,,-19.15,-9.14386668576613,1,1,,100,,,
"2026-06-05","2026-08-31",87,"MS_P002",24.51001,-81.56874,1567,"Orbicella","faveolata","OF999",187.44,128.04,,-59.4,-31.6901408450704,3,3,,100,,,
"2026-06-05","2026-08-31",87,"MS_P002",24.51001,-81.56874,1567,"Orbicella","franksi","OK1",394.96,154.86,,-240.1,-60.7909661737897,5,5,,100,,,
"2026-06-05","2026-08-31",87,"MS_P002",24.51001,-81.56874,1567,"Porites","asteroides","PA110",63.54,46.27,,-17.27,-27.1797293043752,2,2,,100,,,
"2026-06-05","2026-08-31",87,"MS_P002",24.51001,-81.56874,1567,"Porites","asteroides","PA26",133.07,72.04,,-61.03,-45.8630795821748,6,5,,83.3333333333333,,,
"2026-06-05","2026-08-31",87,"MS_P002",24.51001,-81.56874,1567,"Porites","asteroides","PA42",144.98,99.01,,-45.97,-31.7078217685198,5,4,,80,,,
"2026-06-05","2026-08-31",87,"MS_P002",24.51001,-81.56874,1567,"Porites","asteroides","PA469",120.77,183.62,,62.85,52.0410698021032,1,1,,100,,,
"2026-06-05","2026-08-31",87,"MS_P002",24.51001,-81.56874,1567,"Porites","asteroides","PA486",95.49,103.22,,7.73,8.09508849094146,2,2,,100,,,
"2026-06-05","2026-08-31",87,"MS_P002",24.51001,-81.56874,1567,"Porites","asteroides","PA55",36.94,58.03,,21.09,57.0925825663238,1,1,,100,,,
